sample.name,Species,Island,Phenotype,cohort,WGS.bioproject
03Dap17901,scandens,Daphne,pink,1991,PRJNA678752
01Dap17907,fortis,Daphne,yellow,1991,PRJNA678752
01Dap17911,fortis,Daphne,pink,1991,PRJNA678752
01Dap17954,fortis,Daphne,yellow,1991,PRJNA678752
03Dap17956,scandens,Daphne,pink,1991,PRJNA678752
03Dap17963,scandens,Daphne,pink,1991,PRJNA678752
01Dap17964,fortis,Daphne,pink,1991,PRJNA678752
01Dap17971,fortis,Daphne,pink,1991,PRJNA678752
03Dap17973,scandens,Daphne,pink,1991,PRJNA678752
01Dap17974,fortis,Daphne,pink,1991,PRJNA678752
03Dap17978,scandens,Daphne,pink,1991,PRJNA678752
01Dap17979,fortis,Daphne,yellow,1991,PRJNA678752
03Dap17994,scandens,Daphne,pink,1991,PRJNA678752
03Dap18046,scandens,Daphne,pink,1994,PRJNA678752
03Dap18048,scandens,Daphne,pink,1994,PRJNA678752
03Dap18061,scandens,Daphne,yellow,1997,PRJNA678752
01Dap18067,fortis,Daphne,pink,1992,PRJNA678752
03Dap18096,scandens,Daphne,,1993,PRJNA678752
03Dap18104,scandens,Daphne,pink,1993,PRJNA678752
03Dap18106,scandens,Daphne,pink,1993,PRJNA678752
03Dap18111,scandens,Daphne,pink,1993,PRJNA678752
01Dap18114,fortis,Daphne,yellow,1998,PRJNA678752
03Dap18117,scandens,Daphne,yellow,1998,PRJNA678752
03Dap18118,scandens,Daphne,yellow,1997,PRJNA678752
03Dap18137,scandens,Daphne,yellow,1997,PRJNA678752
03Dap18139,scandens,Daphne,pink,1997,PRJNA678752
03Dap18140,scandens,Daphne,yellow,1997,PRJNA678752
03Dap18141,scandens,Daphne,yellow,1997,PRJNA678752
01Dap18150,fortis,Daphne,pink,1998,PRJNA678752
01Dap18154,fortis,Daphne,yellow,1998,PRJNA678752
03Dap18161,scandens,Daphne,yellow,1998,PRJNA678752
03Dap18163,scandens,Daphne,yellow,1998,PRJNA678752
03Dap18164,scandens,Daphne,yellow,1998,PRJNA678752
03Dap18168,scandens,Daphne,yellow,1998,PRJNA678752
03Dap18170,scandens,Daphne,yellow,1998,PRJNA678752
03Dap18175,scandens,Daphne,yellow,1998,PRJNA678752
03Dap18176,scandens,Daphne,yellow,1998,PRJNA678752
03Dap18177,scandens,Daphne,yellow,1998,PRJNA678752
01Dap18187,fortis,Daphne,pink,1998,PRJNA678752
01Dap18191,fortis,Daphne,pink,1998,PRJNA678752
03Dap18195,scandens,Daphne,yellow,1998,PRJNA678752
01Dap18304,fortis,Daphne,pink,1992,PRJNA678752
03Dap18309,scandens,Daphne,yellow,1995,PRJNA678752
03Dap18311,scandens,Daphne,yellow,1995,PRJNA678752
03Dap18315,scandens,Daphne,pink,1995,PRJNA678752
03Dap18316,scandens,Daphne,pink,1995,PRJNA678752
03Dap18334,scandens,Daphne,yellow,1995,PRJNA678752
03Dap18336,scandens,Daphne,yellow,1995,PRJNA678752
03Dap18345,scandens,Daphne,yellow,1995,PRJNA678752
03Dap18347,scandens,Daphne,yellow,1995,PRJNA678752
01Dap18348,fortis,Daphne,,1992,PRJNA678752
03Dap18349,scandens,Daphne,pink,1995,PRJNA678752
03Dap18354,scandens,Daphne,yellow,1995,PRJNA678752
03Dap18359,scandens,Daphne,pink,1995,PRJNA678752
